"dataid","sampleid","variableid","value","recdatecreated","recdatemodified"
8536117,468016,50087,1,"2021-03-17 07:10:46","2021-03-17 07:10:46"
8536118,468016,50086,1,"2021-03-17 07:12:58","2021-03-17 07:12:58"
8536119,468016,50086,1,"2021-03-17 07:21:18","2021-03-17 07:21:18"
8536120,468016,50086,1,"2021-03-17 07:26:28","2021-03-17 07:26:28"
8536121,468016,50086,1,"2021-03-17 07:41:02","2021-03-17 07:41:02"
8537604,468016,50086,1,"2021-03-18 03:48:23","2021-03-18 03:48:23"
8537605,468016,50086,1,"2021-03-18 06:46:57","2021-03-18 06:46:57"
8537606,468016,50088,1,"2021-03-18 06:58:00","2021-03-18 06:58:00"
8537607,468016,50088,1,"2021-03-18 07:16:33","2021-03-18 07:16:33"
8537608,468016,50088,1,"2021-03-18 07:18:22","2021-03-18 07:18:22"
8537609,468016,50088,1,"2021-03-18 07:22:09","2021-03-18 07:22:09"
8537610,468016,50088,1,"2021-03-18 07:23:53","2021-03-18 07:23:53"
8538563,468016,50087,1,"2021-03-19 05:15:18","2021-03-19 05:15:18"
8553517,470932,50087,1,"2021-03-23 04:52:39","2021-03-23 04:52:39"
8554486,470932,50086,1,"2021-03-23 05:16:37","2021-03-23 05:16:37"
8554487,470932,50088,1,"2021-03-23 06:22:48","2021-03-23 06:22:48"
8554488,470987,50086,1,"2021-03-23 06:44:01","2021-03-23 06:44:01"
