"datasetid","taxonname","variableunits","variablecontext","elementtype"
24118,"Charcoal","NISP","",">100 µm"
24118,"Charcoal","NISP","",">100 µm"
24118,"Charcoal","NISP","",">100 µm"
24118,"Charcoal","NISP","",">100 µm"
24118,"Charcoal","NISP","",">100 µm"
24118,"Charcoal","NISP","",">100 µm"
24118,"Charcoal","NISP","",">100 µm"
24118,"Charcoal","NISP","",">100 µm"
24118,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
45377,"Charcoal","NISP","",">100 µm"
