"datasetid","datasettypeid","taxonname","variableunits","variablecontext","elementtype"
24118,3,"Charcoal","NISP","",">100 µm"
24118,3,"Charcoal","NISP","",">100 µm"
24118,3,"Charcoal","NISP","",">100 µm"
24118,3,"Charcoal","NISP","",">100 µm"
24118,3,"Charcoal","NISP","",">100 µm"
24118,3,"Charcoal","NISP","",">100 µm"
24118,3,"Charcoal","NISP","",">100 µm"
24118,3,"Charcoal","NISP","",">100 µm"
24118,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
45377,3,"Charcoal","NISP","",">100 µm"
