"depths","variablename","element","value","ChronNumber","Age","SiteName","LongEast","LongWest","LatNorth","LatSouth","Altitude","Area","Country","State","County","SiteDescription","SiteNotes","param_Maximum.depth..m.","Handle","CollectionName","CollectionType","CollectionDevice","CollectionDate","CUNotes","DepositionalEnvironment","WaterDepth","Location","GPSLat","GPSLong","GPSError","GPSAltitude","Substrate","SlopeAngle","SlopeAspect","Collectors","Collectors_ID","Collectors_Names","InternalContactID","NeotomaContactID","NeotomaAliasID","FullContactName","ShortContactName","FamilyName","GivenNames","LeadingInitials","ContactTitle","Status","Address","Email","Telephone","URL","Fax","SampleID","AnalysisUnitID","Investigators_geochron","Method","AgeUnits_Sample","Depth","Thickness","LabNumber","SampleAge","ErrorOlder","ErrorYounger","Sigma","StdDev","GreaterThan","MaterialDated","SampleNotes","PublicationsText","PublicationIDs","Investigators_geochron_neoID","Investigators_geochron_Name","PublicationID","PrimaryPub","PublicationType","NeotomaID_pub","DOI_pub","PublicationYear","Citation","Title","Journal","Volume","Pages","PublicationID_Author","ContactID","LastName","Initials","authorIDs","authorNames","Processors_ID","Investigators_ID","Processors_Names","Investigators_Names","DatasetType","Name","AgeModelID","ChronologyName","AgeUnits","Default","DatePrepared","Model","AgeBoundOlder","AgeBoundYounger","AgeModelNotes","PreparersText","PreparersContactID"
5,"Sample quantity","volume",1,1,"-59","Lake Victoria (Shirati Bay) LV1",33.9191,33.9191,-1.11523333333333,-1.11523333333333,1135,6880000,"Tanzania",NA,NA,NA,NA,68,"LVC18_S1","Lake Victoria LV1","Core","UWITEC piston corer",43374,NA,"Natural Lake",37,NA,NA,NA,NA,NA,NA,NA,NA,"2,6,7,10","8777,20039,20044,9599","Gobet, E.|Muschick, M.|Seehausen, O.|Tinner, W.",1,18278,18278,"Courtney-Mustaphi, Colin","Courtney-Mustaphi, C.J.","Courtney-Mustaphi","Colin","C.J.","Dr.","active","Department of Environmental Sciences
Geoecology
University of Basel
Basel, Switzerland","","","","",1,"Depth",9,"Carbon-14","Radiocarbon years BP",23,2,"BE-13429",-705,170,170,1,170,"False","Charcoal","F14C = 1.092 +/- 0.023  Sample containing nuclear bomb-related radiocarbon","Temoltzin-Loranca et al. 2023",1,20036,"Temoltzin-Loranca, Y.",1,"true","journal article",20442,"https://doi.org/10.1016/j.quascirev.2022.107915",2023,"Temoltzin-Loranca, Y., E. Gobet, B. Vannière, J.F.N. van Leeuwen, G. Wienhues, S. Szidat, C. Courtney-Mustaphi, M. Kishe, M. Muschick, O. Seehausen, M. Grosjean, and W. Tinner. 2023. A chronologically reliable record of 17,000 years of biomass burning in the Lake Victoria area. Quaternary Science Reviews 301:107915. [DOI: https://doi.org/10.1016/j.quascirev.2022.107915]","A chronologically reliable record of 17,000 years of biomass burning in the Lake Victoria area","Quaternary Science Reviews",301,107915,1,9,"Temoltzin-Loranca","Y.","20036,8777,9974,15224,20037,13851,18278,20038,20039,20044,15357,9599","Temoltzin-Loranca, Y.|Gobet, E.|Vannière, B.|van Leeuwen, J.F.N.|Wienhues, G.|Szidat, S.|Courtney-Mustaphi, C.J.|Kishe, M.|Muschick, M.|Seehausen, O.|Grosjean, M.|Tinner, W.","15695","18278,8777,15357,20038,20039,20044,13851,20036,9599,15224,9974,20037","Morales-Molino, C.","Courtney-Mustaphi, C.J.|Gobet, E.|Grosjean, M.|Kishe, M.|Muschick, M.|Seehausen, O.|Szidat, S.|Temoltzin-Loranca, Y.|Tinner, W.|van Leeuwen, J.F.N.|Vannière, B.|Wienhues, G.","Pollen","LV1 pollen",1,"Temoltzin-Loranca et al. (2023)","Calendar years BP","True",NA,"rbacon",13900,-70,NA,"Temoltzin-Loranca, Y.",9
5,"Lycopodium tablets","quantity added",4,1,"-59","Lake Victoria (Shirati Bay) LV1",33.9191,33.9191,-1.11523333333333,-1.11523333333333,1135,6880000,"Tanzania",NA,NA,NA,NA,68,"LVC18_S1","Lake Victoria LV1","Core","UWITEC piston corer",43374,NA,"Natural Lake",37,NA,NA,NA,NA,NA,NA,NA,NA,"2,6,7,10","8777,20039,20044,9599","Gobet, E.|Muschick, M.|Seehausen, O.|Tinner, W.",1,18278,18278,"Courtney-Mustaphi, Colin","Courtney-Mustaphi, C.J.","Courtney-Mustaphi","Colin","C.J.","Dr.","active","Department of Environmental Sciences
Geoecology
University of Basel
Basel, Switzerland","","","","",1,"Depth",9,"Carbon-14","Radiocarbon years BP",23,2,"BE-13429",-705,170,170,1,170,"False","Charcoal","F14C = 1.092 +/- 0.023  Sample containing nuclear bomb-related radiocarbon","Temoltzin-Loranca et al. 2023",1,20036,"Temoltzin-Loranca, Y.",1,"true","journal article",20442,"https://doi.org/10.1016/j.quascirev.2022.107915",2023,"Temoltzin-Loranca, Y., E. Gobet, B. Vannière, J.F.N. van Leeuwen, G. Wienhues, S. Szidat, C. Courtney-Mustaphi, M. Kishe, M. Muschick, O. Seehausen, M. Grosjean, and W. Tinner. 2023. A chronologically reliable record of 17,000 years of biomass burning in the Lake Victoria area. Quaternary Science Reviews 301:107915. [DOI: https://doi.org/10.1016/j.quascirev.2022.107915]","A chronologically reliable record of 17,000 years of biomass burning in the Lake Victoria area","Quaternary Science Reviews",301,107915,1,9,"Temoltzin-Loranca","Y.","20036,8777,9974,15224,20037,13851,18278,20038,20039,20044,15357,9599","Temoltzin-Loranca, Y.|Gobet, E.|Vannière, B.|van Leeuwen, J.F.N.|Wienhues, G.|Szidat, S.|Courtney-Mustaphi, C.J.|Kishe, M.|Muschick, M.|Seehausen, O.|Grosjean, M.|Tinner, W.","15695","18278,8777,15357,20038,20039,20044,13851,20036,9599,15224,9974,20037","Morales-Molino, C.","Courtney-Mustaphi, C.J.|Gobet, E.|Grosjean, M.|Kishe, M.|Muschick, M.|Seehausen, O.|Szidat, S.|Temoltzin-Loranca, Y.|Tinner, W.|van Leeuwen, J.F.N.|Vannière, B.|Wienhues, G.","Pollen","LV1 pollen",1,"Temoltzin-Loranca et al. (2023)","Calendar years BP","True",NA,"rbacon",13900,-70,NA,"Temoltzin-Loranca, Y.",9
5,"Lycopodium tablets","concentration",9666,1,"-59","Lake Victoria (Shirati Bay) LV1",33.9191,33.9191,-1.11523333333333,-1.11523333333333,1135,6880000,"Tanzania",NA,NA,NA,NA,68,"LVC18_S1","Lake Victoria LV1","Core","UWITEC piston corer",43374,NA,"Natural Lake",37,NA,NA,NA,NA,NA,NA,NA,NA,"2,6,7,10","8777,20039,20044,9599","Gobet, E.|Muschick, M.|Seehausen, O.|Tinner, W.",1,18278,18278,"Courtney-Mustaphi, Colin","Courtney-Mustaphi, C.J.","Courtney-Mustaphi","Colin","C.J.","Dr.","active","Department of Environmental Sciences
Geoecology
University of Basel
Basel, Switzerland","","","","",1,"Depth",9,"Carbon-14","Radiocarbon years BP",23,2,"BE-13429",-705,170,170,1,170,"False","Charcoal","F14C = 1.092 +/- 0.023  Sample containing nuclear bomb-related radiocarbon","Temoltzin-Loranca et al. 2023",1,20036,"Temoltzin-Loranca, Y.",1,"true","journal article",20442,"https://doi.org/10.1016/j.quascirev.2022.107915",2023,"Temoltzin-Loranca, Y., E. Gobet, B. Vannière, J.F.N. van Leeuwen, G. Wienhues, S. Szidat, C. Courtney-Mustaphi, M. Kishe, M. Muschick, O. Seehausen, M. Grosjean, and W. Tinner. 2023. A chronologically reliable record of 17,000 years of biomass burning in the Lake Victoria area. Quaternary Science Reviews 301:107915. [DOI: https://doi.org/10.1016/j.quascirev.2022.107915]","A chronologically reliable record of 17,000 years of biomass burning in the Lake Victoria area","Quaternary Science Reviews",301,107915,1,9,"Temoltzin-Loranca","Y.","20036,8777,9974,15224,20037,13851,18278,20038,20039,20044,15357,9599","Temoltzin-Loranca, Y.|Gobet, E.|Vannière, B.|van Leeuwen, J.F.N.|Wienhues, G.|Szidat, S.|Courtney-Mustaphi, C.J.|Kishe, M.|Muschick, M.|Seehausen, O.|Grosjean, M.|Tinner, W.","15695","18278,8777,15357,20038,20039,20044,13851,20036,9599,15224,9974,20037","Morales-Molino, C.","Courtney-Mustaphi, C.J.|Gobet, E.|Grosjean, M.|Kishe, M.|Muschick, M.|Seehausen, O.|Szidat, S.|Temoltzin-Loranca, Y.|Tinner, W.|van Leeuwen, J.F.N.|Vannière, B.|Wienhues, G.","Pollen","LV1 pollen",1,"Temoltzin-Loranca et al. (2023)","Calendar years BP","True",NA,"rbacon",13900,-70,NA,"Temoltzin-Loranca, Y.",9
5,"Lycopodium spike","counted",283,1,"-59","Lake Victoria (Shirati Bay) LV1",33.9191,33.9191,-1.11523333333333,-1.11523333333333,1135,6880000,"Tanzania",NA,NA,NA,NA,68,"LVC18_S1","Lake Victoria LV1","Core","UWITEC piston corer",43374,NA,"Natural Lake",37,NA,NA,NA,NA,NA,NA,NA,NA,"2,6,7,10","8777,20039,20044,9599","Gobet, E.|Muschick, M.|Seehausen, O.|Tinner, W.",1,18278,18278,"Courtney-Mustaphi, Colin","Courtney-Mustaphi, C.J.","Courtney-Mustaphi","Colin","C.J.","Dr.","active","Department of Environmental Sciences
Geoecology
University of Basel
Basel, Switzerland","","","","",1,"Depth",9,"Carbon-14","Radiocarbon years BP",23,2,"BE-13429",-705,170,170,1,170,"False","Charcoal","F14C = 1.092 +/- 0.023  Sample containing nuclear bomb-related radiocarbon","Temoltzin-Loranca et al. 2023",1,20036,"Temoltzin-Loranca, Y.",1,"true","journal article",20442,"https://doi.org/10.1016/j.quascirev.2022.107915",2023,"Temoltzin-Loranca, Y., E. Gobet, B. Vannière, J.F.N. van Leeuwen, G. Wienhues, S. Szidat, C. Courtney-Mustaphi, M. Kishe, M. Muschick, O. Seehausen, M. Grosjean, and W. Tinner. 2023. A chronologically reliable record of 17,000 years of biomass burning in the Lake Victoria area. Quaternary Science Reviews 301:107915. [DOI: https://doi.org/10.1016/j.quascirev.2022.107915]","A chronologically reliable record of 17,000 years of biomass burning in the Lake Victoria area","Quaternary Science Reviews",301,107915,1,9,"Temoltzin-Loranca","Y.","20036,8777,9974,15224,20037,13851,18278,20038,20039,20044,15357,9599","Temoltzin-Loranca, Y.|Gobet, E.|Vannière, B.|van Leeuwen, J.F.N.|Wienhues, G.|Szidat, S.|Courtney-Mustaphi, C.J.|Kishe, M.|Muschick, M.|Seehausen, O.|Grosjean, M.|Tinner, W.","15695","18278,8777,15357,20038,20039,20044,13851,20036,9599,15224,9974,20037","Morales-Molino, C.","Courtney-Mustaphi, C.J.|Gobet, E.|Grosjean, M.|Kishe, M.|Muschick, M.|Seehausen, O.|Szidat, S.|Temoltzin-Loranca, Y.|Tinner, W.|van Leeuwen, J.F.N.|Vannière, B.|Wienhues, G.","Pollen","LV1 pollen",1,"Temoltzin-Loranca et al. (2023)","Calendar years BP","True",NA,"rbacon",13900,-70,NA,"Temoltzin-Loranca, Y.",9
5,"Alternanthera",NA,0,1,"-59","Lake Victoria (Shirati Bay) LV1",33.9191,33.9191,-1.11523333333333,-1.11523333333333,1135,6880000,"Tanzania",NA,NA,NA,NA,68,"LVC18_S1","Lake Victoria LV1","Core","UWITEC piston corer",43374,NA,"Natural Lake",37,NA,NA,NA,NA,NA,NA,NA,NA,"2,6,7,10","8777,20039,20044,9599","Gobet, E.|Muschick, M.|Seehausen, O.|Tinner, W.",1,18278,18278,"Courtney-Mustaphi, Colin","Courtney-Mustaphi, C.J.","Courtney-Mustaphi","Colin","C.J.","Dr.","active","Department of Environmental Sciences
Geoecology
University of Basel
Basel, Switzerland","","","","",1,"Depth",9,"Carbon-14","Radiocarbon years BP",23,2,"BE-13429",-705,170,170,1,170,"False","Charcoal","F14C = 1.092 +/- 0.023  Sample containing nuclear bomb-related radiocarbon","Temoltzin-Loranca et al. 2023",1,20036,"Temoltzin-Loranca, Y.",1,"true","journal article",20442,"https://doi.org/10.1016/j.quascirev.2022.107915",2023,"Temoltzin-Loranca, Y., E. Gobet, B. Vannière, J.F.N. van Leeuwen, G. Wienhues, S. Szidat, C. Courtney-Mustaphi, M. Kishe, M. Muschick, O. Seehausen, M. Grosjean, and W. Tinner. 2023. A chronologically reliable record of 17,000 years of biomass burning in the Lake Victoria area. Quaternary Science Reviews 301:107915. [DOI: https://doi.org/10.1016/j.quascirev.2022.107915]","A chronologically reliable record of 17,000 years of biomass burning in the Lake Victoria area","Quaternary Science Reviews",301,107915,1,9,"Temoltzin-Loranca","Y.","20036,8777,9974,15224,20037,13851,18278,20038,20039,20044,15357,9599","Temoltzin-Loranca, Y.|Gobet, E.|Vannière, B.|van Leeuwen, J.F.N.|Wienhues, G.|Szidat, S.|Courtney-Mustaphi, C.J.|Kishe, M.|Muschick, M.|Seehausen, O.|Grosjean, M.|Tinner, W.","15695","18278,8777,15357,20038,20039,20044,13851,20036,9599,15224,9974,20037","Morales-Molino, C.","Courtney-Mustaphi, C.J.|Gobet, E.|Grosjean, M.|Kishe, M.|Muschick, M.|Seehausen, O.|Szidat, S.|Temoltzin-Loranca, Y.|Tinner, W.|van Leeuwen, J.F.N.|Vannière, B.|Wienhues, G.","Pollen","LV1 pollen",1,"Temoltzin-Loranca et al. (2023)","Calendar years BP","True",NA,"rbacon",13900,-70,NA,"Temoltzin-Loranca, Y.",9
5,"Anthoceros-laevis-type",NA,0,1,"-59","Lake Victoria (Shirati Bay) LV1",33.9191,33.9191,-1.11523333333333,-1.11523333333333,1135,6880000,"Tanzania",NA,NA,NA,NA,68,"LVC18_S1","Lake Victoria LV1","Core","UWITEC piston corer",43374,NA,"Natural Lake",37,NA,NA,NA,NA,NA,NA,NA,NA,"2,6,7,10","8777,20039,20044,9599","Gobet, E.|Muschick, M.|Seehausen, O.|Tinner, W.",1,18278,18278,"Courtney-Mustaphi, Colin","Courtney-Mustaphi, C.J.","Courtney-Mustaphi","Colin","C.J.","Dr.","active","Department of Environmental Sciences
Geoecology
University of Basel
Basel, Switzerland","","","","",1,"Depth",9,"Carbon-14","Radiocarbon years BP",23,2,"BE-13429",-705,170,170,1,170,"False","Charcoal","F14C = 1.092 +/- 0.023  Sample containing nuclear bomb-related radiocarbon","Temoltzin-Loranca et al. 2023",1,20036,"Temoltzin-Loranca, Y.",1,"true","journal article",20442,"https://doi.org/10.1016/j.quascirev.2022.107915",2023,"Temoltzin-Loranca, Y., E. Gobet, B. Vannière, J.F.N. van Leeuwen, G. Wienhues, S. Szidat, C. Courtney-Mustaphi, M. Kishe, M. Muschick, O. Seehausen, M. Grosjean, and W. Tinner. 2023. A chronologically reliable record of 17,000 years of biomass burning in the Lake Victoria area. Quaternary Science Reviews 301:107915. [DOI: https://doi.org/10.1016/j.quascirev.2022.107915]","A chronologically reliable record of 17,000 years of biomass burning in the Lake Victoria area","Quaternary Science Reviews",301,107915,1,9,"Temoltzin-Loranca","Y.","20036,8777,9974,15224,20037,13851,18278,20038,20039,20044,15357,9599","Temoltzin-Loranca, Y.|Gobet, E.|Vannière, B.|van Leeuwen, J.F.N.|Wienhues, G.|Szidat, S.|Courtney-Mustaphi, C.J.|Kishe, M.|Muschick, M.|Seehausen, O.|Grosjean, M.|Tinner, W.","15695","18278,8777,15357,20038,20039,20044,13851,20036,9599,15224,9974,20037","Morales-Molino, C.","Courtney-Mustaphi, C.J.|Gobet, E.|Grosjean, M.|Kishe, M.|Muschick, M.|Seehausen, O.|Szidat, S.|Temoltzin-Loranca, Y.|Tinner, W.|van Leeuwen, J.F.N.|Vannière, B.|Wienhues, G.","Pollen","LV1 pollen",1,"Temoltzin-Loranca et al. (2023)","Calendar years BP","True",NA,"rbacon",13900,-70,NA,"Temoltzin-Loranca, Y.",9
5,"Basella",NA,0,1,"-59","Lake Victoria (Shirati Bay) LV1",33.9191,33.9191,-1.11523333333333,-1.11523333333333,1135,6880000,"Tanzania",NA,NA,NA,NA,68,"LVC18_S1","Lake Victoria LV1","Core","UWITEC piston corer",43374,NA,"Natural Lake",37,NA,NA,NA,NA,NA,NA,NA,NA,"2,6,7,10","8777,20039,20044,9599","Gobet, E.|Muschick, M.|Seehausen, O.|Tinner, W.",1,18278,18278,"Courtney-Mustaphi, Colin","Courtney-Mustaphi, C.J.","Courtney-Mustaphi","Colin","C.J.","Dr.","active","Department of Environmental Sciences
Geoecology
University of Basel
Basel, Switzerland","","","","",1,"Depth",9,"Carbon-14","Radiocarbon years BP",23,2,"BE-13429",-705,170,170,1,170,"False","Charcoal","F14C = 1.092 +/- 0.023  Sample containing nuclear bomb-related radiocarbon","Temoltzin-Loranca et al. 2023",1,20036,"Temoltzin-Loranca, Y.",1,"true","journal article",20442,"https://doi.org/10.1016/j.quascirev.2022.107915",2023,"Temoltzin-Loranca, Y., E. Gobet, B. Vannière, J.F.N. van Leeuwen, G. Wienhues, S. Szidat, C. Courtney-Mustaphi, M. Kishe, M. Muschick, O. Seehausen, M. Grosjean, and W. Tinner. 2023. A chronologically reliable record of 17,000 years of biomass burning in the Lake Victoria area. Quaternary Science Reviews 301:107915. [DOI: https://doi.org/10.1016/j.quascirev.2022.107915]","A chronologically reliable record of 17,000 years of biomass burning in the Lake Victoria area","Quaternary Science Reviews",301,107915,1,9,"Temoltzin-Loranca","Y.","20036,8777,9974,15224,20037,13851,18278,20038,20039,20044,15357,9599","Temoltzin-Loranca, Y.|Gobet, E.|Vannière, B.|van Leeuwen, J.F.N.|Wienhues, G.|Szidat, S.|Courtney-Mustaphi, C.J.|Kishe, M.|Muschick, M.|Seehausen, O.|Grosjean, M.|Tinner, W.","15695","18278,8777,15357,20038,20039,20044,13851,20036,9599,15224,9974,20037","Morales-Molino, C.","Courtney-Mustaphi, C.J.|Gobet, E.|Grosjean, M.|Kishe, M.|Muschick, M.|Seehausen, O.|Szidat, S.|Temoltzin-Loranca, Y.|Tinner, W.|van Leeuwen, J.F.N.|Vannière, B.|Wienhues, G.","Pollen","LV1 pollen",1,"Temoltzin-Loranca et al. (2023)","Calendar years BP","True",NA,"rbacon",13900,-70,NA,"Temoltzin-Loranca, Y.",9
5,"cf. Clematis",NA,0,1,"-59","Lake Victoria (Shirati Bay) LV1",33.9191,33.9191,-1.11523333333333,-1.11523333333333,1135,6880000,"Tanzania",NA,NA,NA,NA,68,"LVC18_S1","Lake Victoria LV1","Core","UWITEC piston corer",43374,NA,"Natural Lake",37,NA,NA,NA,NA,NA,NA,NA,NA,"2,6,7,10","8777,20039,20044,9599","Gobet, E.|Muschick, M.|Seehausen, O.|Tinner, W.",1,18278,18278,"Courtney-Mustaphi, Colin","Courtney-Mustaphi, C.J.","Courtney-Mustaphi","Colin","C.J.","Dr.","active","Department of Environmental Sciences
Geoecology
University of Basel
Basel, Switzerland","","","","",1,"Depth",9,"Carbon-14","Radiocarbon years BP",23,2,"BE-13429",-705,170,170,1,170,"False","Charcoal","F14C = 1.092 +/- 0.023  Sample containing nuclear bomb-related radiocarbon","Temoltzin-Loranca et al. 2023",1,20036,"Temoltzin-Loranca, Y.",1,"true","journal article",20442,"https://doi.org/10.1016/j.quascirev.2022.107915",2023,"Temoltzin-Loranca, Y., E. Gobet, B. Vannière, J.F.N. van Leeuwen, G. Wienhues, S. Szidat, C. Courtney-Mustaphi, M. Kishe, M. Muschick, O. Seehausen, M. Grosjean, and W. Tinner. 2023. A chronologically reliable record of 17,000 years of biomass burning in the Lake Victoria area. Quaternary Science Reviews 301:107915. [DOI: https://doi.org/10.1016/j.quascirev.2022.107915]","A chronologically reliable record of 17,000 years of biomass burning in the Lake Victoria area","Quaternary Science Reviews",301,107915,1,9,"Temoltzin-Loranca","Y.","20036,8777,9974,15224,20037,13851,18278,20038,20039,20044,15357,9599","Temoltzin-Loranca, Y.|Gobet, E.|Vannière, B.|van Leeuwen, J.F.N.|Wienhues, G.|Szidat, S.|Courtney-Mustaphi, C.J.|Kishe, M.|Muschick, M.|Seehausen, O.|Grosjean, M.|Tinner, W.","15695","18278,8777,15357,20038,20039,20044,13851,20036,9599,15224,9974,20037","Morales-Molino, C.","Courtney-Mustaphi, C.J.|Gobet, E.|Grosjean, M.|Kishe, M.|Muschick, M.|Seehausen, O.|Szidat, S.|Temoltzin-Loranca, Y.|Tinner, W.|van Leeuwen, J.F.N.|Vannière, B.|Wienhues, G.","Pollen","LV1 pollen",1,"Temoltzin-Loranca et al. (2023)","Calendar years BP","True",NA,"rbacon",13900,-70,NA,"Temoltzin-Loranca, Y.",9
5,"cf. Bosquiea",NA,0,1,"-59","Lake Victoria (Shirati Bay) LV1",33.9191,33.9191,-1.11523333333333,-1.11523333333333,1135,6880000,"Tanzania",NA,NA,NA,NA,68,"LVC18_S1","Lake Victoria LV1","Core","UWITEC piston corer",43374,NA,"Natural Lake",37,NA,NA,NA,NA,NA,NA,NA,NA,"2,6,7,10","8777,20039,20044,9599","Gobet, E.|Muschick, M.|Seehausen, O.|Tinner, W.",1,18278,18278,"Courtney-Mustaphi, Colin","Courtney-Mustaphi, C.J.","Courtney-Mustaphi","Colin","C.J.","Dr.","active","Department of Environmental Sciences
Geoecology
University of Basel
Basel, Switzerland","","","","",1,"Depth",9,"Carbon-14","Radiocarbon years BP",23,2,"BE-13429",-705,170,170,1,170,"False","Charcoal","F14C = 1.092 +/- 0.023  Sample containing nuclear bomb-related radiocarbon","Temoltzin-Loranca et al. 2023",1,20036,"Temoltzin-Loranca, Y.",1,"true","journal article",20442,"https://doi.org/10.1016/j.quascirev.2022.107915",2023,"Temoltzin-Loranca, Y., E. Gobet, B. Vannière, J.F.N. van Leeuwen, G. Wienhues, S. Szidat, C. Courtney-Mustaphi, M. Kishe, M. Muschick, O. Seehausen, M. Grosjean, and W. Tinner. 2023. A chronologically reliable record of 17,000 years of biomass burning in the Lake Victoria area. Quaternary Science Reviews 301:107915. [DOI: https://doi.org/10.1016/j.quascirev.2022.107915]","A chronologically reliable record of 17,000 years of biomass burning in the Lake Victoria area","Quaternary Science Reviews",301,107915,1,9,"Temoltzin-Loranca","Y.","20036,8777,9974,15224,20037,13851,18278,20038,20039,20044,15357,9599","Temoltzin-Loranca, Y.|Gobet, E.|Vannière, B.|van Leeuwen, J.F.N.|Wienhues, G.|Szidat, S.|Courtney-Mustaphi, C.J.|Kishe, M.|Muschick, M.|Seehausen, O.|Grosjean, M.|Tinner, W.","15695","18278,8777,15357,20038,20039,20044,13851,20036,9599,15224,9974,20037","Morales-Molino, C.","Courtney-Mustaphi, C.J.|Gobet, E.|Grosjean, M.|Kishe, M.|Muschick, M.|Seehausen, O.|Szidat, S.|Temoltzin-Loranca, Y.|Tinner, W.|van Leeuwen, J.F.N.|Vannière, B.|Wienhues, G.","Pollen","LV1 pollen",1,"Temoltzin-Loranca et al. (2023)","Calendar years BP","True",NA,"rbacon",13900,-70,NA,"Temoltzin-Loranca, Y.",9
5,"cf. Calligonum",NA,0,1,"-59","Lake Victoria (Shirati Bay) LV1",33.9191,33.9191,-1.11523333333333,-1.11523333333333,1135,6880000,"Tanzania",NA,NA,NA,NA,68,"LVC18_S1","Lake Victoria LV1","Core","UWITEC piston corer",43374,NA,"Natural Lake",37,NA,NA,NA,NA,NA,NA,NA,NA,"2,6,7,10","8777,20039,20044,9599","Gobet, E.|Muschick, M.|Seehausen, O.|Tinner, W.",1,18278,18278,"Courtney-Mustaphi, Colin","Courtney-Mustaphi, C.J.","Courtney-Mustaphi","Colin","C.J.","Dr.","active","Department of Environmental Sciences
Geoecology
University of Basel
Basel, Switzerland","","","","",1,"Depth",9,"Carbon-14","Radiocarbon years BP",23,2,"BE-13429",-705,170,170,1,170,"False","Charcoal","F14C = 1.092 +/- 0.023  Sample containing nuclear bomb-related radiocarbon","Temoltzin-Loranca et al. 2023",1,20036,"Temoltzin-Loranca, Y.",1,"true","journal article",20442,"https://doi.org/10.1016/j.quascirev.2022.107915",2023,"Temoltzin-Loranca, Y., E. Gobet, B. Vannière, J.F.N. van Leeuwen, G. Wienhues, S. Szidat, C. Courtney-Mustaphi, M. Kishe, M. Muschick, O. Seehausen, M. Grosjean, and W. Tinner. 2023. A chronologically reliable record of 17,000 years of biomass burning in the Lake Victoria area. Quaternary Science Reviews 301:107915. [DOI: https://doi.org/10.1016/j.quascirev.2022.107915]","A chronologically reliable record of 17,000 years of biomass burning in the Lake Victoria area","Quaternary Science Reviews",301,107915,1,9,"Temoltzin-Loranca","Y.","20036,8777,9974,15224,20037,13851,18278,20038,20039,20044,15357,9599","Temoltzin-Loranca, Y.|Gobet, E.|Vannière, B.|van Leeuwen, J.F.N.|Wienhues, G.|Szidat, S.|Courtney-Mustaphi, C.J.|Kishe, M.|Muschick, M.|Seehausen, O.|Grosjean, M.|Tinner, W.","15695","18278,8777,15357,20038,20039,20044,13851,20036,9599,15224,9974,20037","Morales-Molino, C.","Courtney-Mustaphi, C.J.|Gobet, E.|Grosjean, M.|Kishe, M.|Muschick, M.|Seehausen, O.|Szidat, S.|Temoltzin-Loranca, Y.|Tinner, W.|van Leeuwen, J.F.N.|Vannière, B.|Wienhues, G.","Pollen","LV1 pollen",1,"Temoltzin-Loranca et al. (2023)","Calendar years BP","True",NA,"rbacon",13900,-70,NA,"Temoltzin-Loranca, Y.",9
