UniqueMissing,SuggestedName
Acidanthera,Gladiolus
Barteria dewevrei-type,Barteria dewevrei-type
Actionopteris,Actiniopteris
cf Clematis,Ranunculaceae cf. Clematis
Amaranthaceae-Chenopodiaceae,Amaranthaceae
cf Hydrocotyle,cf. Hydrocotyle
Anthoceros-laevis-type,Anthoceros laevis-type
cf Pistacia,cf. Pistacia
Cerealia-type,Poaceae (Cerealia-type)
cf Rubus,cf. Rubus
cf. Argomuellera,cf. Argomuellera
cf_Arceuthobium,cf. Arceuthobium
cf Salix (porate),cf. Salix (porate)
cf. Azolla,cf. Azolla
cf_Berlinia,cf. Berlinia
cf Salix (small),cf. Salix (small)
cf. Berlinia,cf. Berlinia
cf_Bosquiea,cf. Trilepisium
cf Schefflera,cf. Schefflera
cf. Bosquiea,cf. Trilepisium
cf_Clausena,cf. Clausena
cf Scheuchzeria,cf. Scheuchzeria
cf. Calligonum,cf. Calligonum
cf_Clematis,Ranunculaceae cf. Clematis
cf Spondias,cf. Spondias
cf. Clausena,cf. Clausena
cf_Elaese,cf. Elaeis
cf Veronica,cf. Veronica
cf. Clematis,Ranunculaceae cf. Clematis
cf_Motandra,cf. Motandra
Commelina africana,Commelina africana
cf. Elaese,cf. Elaeis
cf_Napoleonaea,cf. Napoleonaea
Cyperaceae(all),Cyperaceae undiff.
cf. Loxogramma,cf. Loxogramme
cf_Nesogardinia,cf. Nesogordonia
Elatostema,Elatostema
cf. Motandra,cf. Motandra
cf_Prosopis,cf. Prosopis
Euphorbia (fine),Euphorbia-type (fine)
cf. Napoleonaea,cf. Napoleonaea
cf_Prunus,cf. Prunus
Hirpicium,Hirpicium
cf. Nesogardinia,cf. Nesogordonia
cf_Pteridium,cf. Pteridium
Justicia diclipteroides,Justicia diclipteroides
cf. Prunella-type,cf. Prunella-type
cf_Rubus,cf. Rubus
Lepisorus-type,Polypodiaceae: Lepisorus-type
cf. Salix-porate,cf. Salix (porate)
cf_Salix,cf. Salix
Monolete fern spore,Pteridophyta (monolete)
cf. Salix-small,cf. Salix (small)
cf_Schefflera,cf. Schefflera
Moraceae P2,Moraceae (type 2)
cf. Xiphopteris,cf. Xiphopteris
cf_Spondias,cf. Spondias
Moraceae P3,Urticaceae/Moraceae (type 3)
citroentje,Citrus
cf-Argomuellera,cf. Argomuellera
Nymphaea coerulea,Nymphaea caerulea
cf-Azolla,cf. Azolla
Plantago alpina?,Plantago cf. P. alpina
Euphorbia-fine,Euphorbia-type (fine)
cf-Bosquiea,cf. Trilepisium
Plantago palmata,Plantago palmata
Euphorbia-small,Euphorbia (small)
cf-Calligonum,cf. Calligonum
Pollen unknown,Unknown (other pollen)
Fern sporangium,Pteridophyta
cf-Clematis,Ranunculaceae cf. Clematis
Salacacia,Salacia
cf-Cystopteris,cf. Cystopteris
Strephonema-type,Strephonema-type
Indet,Indeterminable
cf-Hydrocotyle,cf. Hydrocotyle
Trilete fern spore,Pteridophyta (trilete) undiff.
Justicia dicipteriodes-type,Justicia diclipteroides-type
cf-Lotus,cf. Lotus
Urticaceae P2,Urticaceae (type 2)
Justicia-small,Justicia (small)
cf-Loxogramma,cf. Loxogramme
Urticaceae P4,Urticaceae/Moraceae (type 4)
cf-Pistacia,cf. Pistacia
cf-Prosopis,cf. Prosopis
Moraceae-P2,Moraceae (type 2)
cf-Prunella-type,cf. Prunella-type
Moraceae-P3,Urticaceae/Moraceae (type 3)
cf-Prunus,cf. Prunus
npp2,Unknown (non-pollen)
cf-Pteridium,cf. Pteridium
cf-Quercus,cf. Quercus
cf-Rubus,cf. Rubus
Pollen-unknown,Unknown (other pollen)
cf-Salix-porate,cf. Salix (porate)
Stephionema-type,Strephonema-type
cf-Salix-small,cf. Salix (small)
A,cf. Schefflera
Talictrum,Thalictrum
cf-Scheuchzeria,cf. Scheuchzeria
cf-Spondias,cf. Spondias
Urtica dubia,Urtica membranacea
cf-Trifolium,cf. Trifolium
Urticaceae-P2,Urticaceae (type 2)
cf-Veronica,cf. Veronica
Urticaceae-P4,Urticaceae/Moraceae (type 4)
cf-Xiphopteris,cf. Xiphopteris
Whalenbergia,Tarenna
Justicia diclipteroides-type,Justicia diclipteroides-type
Justicia-flava,Justicia flava
Plantago-palmata,Plantago palmata
cf-Schefflera,cf. Schefflera
