Table,Column,Type,Example_Values
r_has_age,AGE_VALUE,double,"3707.0, 3480.0, 0.0"
r_has_age,AGE_POSITIVE_ERROR,int(11),"0, 100, 0"
r_has_age,AGE_NEGATIVE_ERROR,int(11),"0, 100, 0"
r_has_age,ID_AGE_UNITS,int(11),"1, 1, 1"
r_has_age,ID_DATE_INFO,int(11),"1, 1, 2"
r_has_age,ID_AGE_MODEL,int(11),"1, 1, 1"
r_has_age,ID_CALIBRATION_METHOD,int(11),
r_has_age,ID_CALIBRATION_VERSION,int(11),
tr_depth_type,ID_DEPTH_TYPE,int(11),"2, 3, 1"
tr_depth_type,DEPTH_TYPE_NAME,varchar(50),"BOTTOM, MIDDLE, TOP"
tr_age_units,ID_AGE_UNITS,int(11),"1, 2, 3"
tr_age_units,AGE_UNITS_CODE,varchar(50),"CALO, CALS, DCAL"
tr_age_units,AGE_UNITS_TYPE,varchar(50),"calibrated years BP originally, calibrated by synth. coord., direct calibration"
tr_age_units,AGE_UNITS_CALORNOT,tinyint(1),"1, 1, 1"
tr_data_source,ID_DATA_SOURCE,int(11),"1, 2, 3"
tr_data_source,DATA_SOURCE_CODE,varchar(4),"AUTH, DIGI, IMPD"
tr_data_source,DATA_SOURCE_DESC,varchar(50),"author, digitized, paleofire database"
tr_depo_context,ID_DEPO_CONTEXT,int(11),"1, 2, 3"
tr_depo_context,DEPO_CONTEXT_CODE,varchar(50),"ARCH, BOSE, BUOR"
tr_depo_context,DEPO_CONTEXT_NAME,varchar(50),"archaeological, bog sediment, buried organic bed"
tr_depo_context,DEPO_CONTEXT_NUMBER,int(11),"5, 2, 6"
tr_status,ID_STATUS,int(11),"2, 3, 4"
tr_status,STATUS_CODE,varchar(5),"DUPE, EXPE, IDEN"
tr_status,STATUS_DESC,varchar(50),"duplicate - data already exist, only metadata - data expected, Identified (in db) but missing too much"
tr_flow_type,ID_FLOW_TYPE,int(11),"1, 2, 3"
tr_flow_type,FLOW_TYPE_CODE,varchar(50),"CLOS, INON, INOU"
tr_flow_type,FLOW_TYPE_NAME,varchar(50),"closed-no inflow or outflow, Inflow only, In and Out flow"
tr_database,ID_DATABASE,int(11),"4, 1, 2"
tr_database,GCD_ACCESS_VERSION,varchar(50),"GCD 4, GCD1, GCD2"
