Column,Neotoma,Required,Overwrite,Rowwise,Type,Notes
depths,ndb.analysisunits.depth,,FALSE,TRUE,Float,
variablename,ndb.data.variableid,,FALSE,TRUE,string,
element,ndb.variableelements.elementtypeid,,FALSE,TRUE,string,
value,ndb.data.value,,FALSE,TRUE,float,
ChronNumber,,,FALSE,FALSE,integer,
Age,ndb.sampleages.age,,FALSE,TRUE,float,
SiteName,ndb.sites.sitename,,FALSE,FALSE,string,
LongEast,ndb.sites.longitudeeast,,FALSE,FALSE,float,
LongWest,ndb.sites.longitudewest,,FALSE,FALSE,float,
LatNorth,ndb.sites.latitudenorth,,FALSE,FALSE,float,
LatSouth,ndb.sites.latitudesouth,,FALSE,FALSE,float,
Altitude,ndb.sites.altitude,,FALSE,FALSE,integer,
Area,ndb.sites.area,,FALSE,FALSE,string,
Country,ndb.geopoliticalunits.geopoliticalid,,FALSE,FALSE,string,double check these fields
State,ndb.geopoliticalunits.geopoliticalid,,FALSE,FALSE,string,double check these fields
County,ndb.geopoliticalunits.geopoliticalid,,FALSE,FALSE,string,double check these fields
SiteDescription,ndb.sites.sitedescription,,FALSE,FALSE,string,
SiteNotes,ndb.sites.notes,,FALSE,FALSE,string,
param_Maximum.depth..m.,,,FALSE,FALSE,,
Handle,ndb.collectionunits.handle,,FALSE,FALSE,string,
CollectionName,ndb.collectionunits.collunitname,,FALSE,FALSE,string,
CollectionType,ndb.collectionunits.colltypeid,,FALSE,FALSE,string,
CollectionDevice,ndb.collectionunits.colldevice,,FALSE,FALSE,string,
CollectionDate,ndb.collectionunits.colldate,,FALSE,FALSE,string,
CUNotes,ndb.collectionunits.notes,,FALSE,FALSE,string,
DepositionalEnvironment,ndb.collectionunits.depenvtid,,FALSE,FALSE,string,
WaterDepth,ndb.collectionunits.waterdepth,,FALSE,FALSE,string,
Location,ndb.collectionunits.location,,FALSE,FALSE,string,
GPSLat,ndb.collectionunits.gpslatitude,,FALSE,FALSE,string,
GPSLong,ndb.collectionunits.gpslongitude,,FALSE,FALSE,string,
GPSError,ndb.collectionunits.gpserror,,FALSE,FALSE,string,
GPSAltitude,ndb.collectionunits.gpsaltitude,,FALSE,FALSE,string,
Substrate,ndb.collectionunits.substrateid,,FALSE,FALSE,string,
SlopeAngle,ndb.collectionunits.slopeangle,,FALSE,FALSE,string,
SlopeAspect,ndb.collectionunits.slopeaspect,,FALSE,FALSE,string,
Collectors,,,FALSE,FALSE,string,
Collectors_ID,ndb.collectors.collectorid,,FALSE,FALSE,string,
Collectors_Names,,,FALSE,FALSE,string,
InternalContactID,,,FALSE,FALSE,string,
NeotomaContactID,ndb.contacts.contactid,,FALSE,FALSE,string,
NeotomaAliasID,ndb.contacts.contactid,,FALSE,FALSE,string,
FullContactName,ndb.contacts.contactname,,FALSE,FALSE,string,
ShortContactName,,,FALSE,FALSE,string,
FamilyName,ndb.contacts.familyname,,FALSE,FALSE,string,
GivenNames,ndb.contacts.givennames,,FALSE,FALSE,string,
LeadingInitials,ndb.contacts.leadinginitials,,FALSE,FALSE,string,
ContactTitle,ndb.contacts.title,,FALSE,FALSE,string,
Status,,,FALSE,FALSE,string,
Address,ndb.contacts.address,,FALSE,FALSE,string,
Email,ndb.contacts.email,,FALSE,FALSE,string,
Telephone,ndb.contacts.phone,,FALSE,FALSE,string,
URL,ndb.contacts.url,,FALSE,FALSE,string,
Fax,ndb.contacts.fax,,FALSE,FALSE,string,
SampleID,,,FALSE,FALSE,string,
AnalysisUnitID,,,FALSE,FALSE,string,
Investigators_geochron,,,FALSE,FALSE,string,
Method,ndb.geochronology.geochrontypeid,,FALSE,FALSE,string,
AgeUnits_Sample,ndb.chroncontrols.agetypeid,,FALSE,FALSE,string,
Depth,ndb.chroncontrols.depth,,FALSE,FALSE,string,
Thickness,ndb.chroncontrols.thickness,,FALSE,FALSE,string,
LabNumber,ndb.geochronology.labnumber,,FALSE,FALSE,string,
SampleAge,ndb.chroncontrols.age,,FALSE,FALSE,string,
ErrorOlder,ndb.geochronology.errorolder,,FALSE,FALSE,string,
