Table	Column	Type
r_has_age	AGE_VALUE	double
r_has_age	AGE_POSITIVE_ERROR	int(11)
r_has_age	AGE_NEGATIVE_ERROR	int(11)
r_has_age	ID_AGE_UNITS	int(11)
r_has_age	ID_DATE_INFO	int(11)
r_has_age	ID_AGE_MODEL	int(11)
r_has_age	ID_CALIBRATION_METHOD	int(11)
r_has_age	ID_CALIBRATION_VERSION	int(11)
r_has_author	ID_CONTACT	int(11)
r_has_author	ID_CHARCOAL	int(11)
r_has_charcoal_quantity	QUANTITY	double
r_has_charcoal_quantity	ID_CHARCOAL	int(11)
r_has_charcoal_quantity	ID_CHARCOAL_UNITS	int(11)
r_has_date_comments	ID_DATE_INFO	int(11)
r_has_date_comments	ID_DATE_COMMENTS	int(11)
r_has_estimated_age	EST_AGE_CAL_BP	double
r_has_estimated_age	EST_AGE_POSITIVE_ERROR	double
r_has_estimated_age	EST_AGE_NEGATIVE_ERROR	double
r_has_estimated_age	ID_SAMPLE	int(11)
r_has_estimated_age	ID_AGE_MODEL	int(11)
r_has_estimated_age	ID_Depth	int(11)
r_has_pub	ID_PUB	int(11)
r_has_pub	ID_CHARCOAL	int(11)
r_site_is_referenced	ID_PUB	int(11)
r_site_is_referenced	ID_SITE	int(11)
r_situated_in_region	id_country	int(11)
r_situated_in_region	id_region	int(11)
tr_age_model_method	ID_AGE_MODEL_METHOD	int(11)
tr_age_model_method	AGE_MODEL_METHOD_CODE	varchar(4)
tr_age_model_method	AGE_MODEL_METHOD_TYPE	varchar(80)
tr_age_units	ID_AGE_UNITS	int(11)
tr_age_units	AGE_UNITS_CODE	varchar(50)
tr_age_units	AGE_UNITS_TYPE	varchar(50)
tr_age_units	AGE_UNITS_CALORNOT	tinyint(1)
tr_basin_size	ID_BASIN_SIZE	int(11)
tr_basin_size	BASIN_SIZE_CODE	varchar(50)
tr_basin_size	BASIN_SIZE_DESC	varchar(50)
tr_basin_size	BASIN_SIZE_RANGE_MIN	double
tr_basin_size	BASIN_SIZE_RANGE_MAX	double
tr_biome_type	ID_BIOME_TYPE	int(11)
tr_biome_type	BIOME_TYPE_CODE	varchar(10)
tr_biome_type	BIOME_TYPE_NAME	varchar(80)
tr_biome_type	ID_REF_BIOME	int(11)
tr_calibration_method	ID_CALIBRATION_METHOD	int(11)
tr_calibration_method	CALIBRATION_METHOD_TYPE	varchar(50)
tr_calibration_version	ID_CALIBRATION_VERSION	int(11)
tr_calibration_version	CALIBRATION_CURVE_VERSION	varchar(50)
tr_catch_size	ID_CATCH_SIZE	int(11)
tr_catch_size	CATCH_SIZE_CODE	varchar(50)
tr_catch_size	CATCH_SIZE_NAME	varchar(50)
tr_catch_size	CATCH_SIZE_RANGE_MIN	double
tr_catch_size	CATCH_SIZE_RANGE_MAX	double
tr_charcoal_method	ID_CHARCOAL_METHOD	int(11)
tr_charcoal_method	CHARCOAL_METHOD_CODE	varchar(50)
tr_charcoal_method	CHARCOAL_METHOD_NAME	varchar(50)
tr_charcoal_method	CHARCOAL_METHOD_NUMBER	varchar(50)
tr_charcoal_size	ID_CHARCOAL_SIZE	int(11)
tr_charcoal_size	CHARCOAL_SIZE_CODE	varchar(50)
tr_charcoal_size	CHARCOAL_SIZE_DESC	varchar(50)
tr_charcoal_size	CONV_COEF_FOR_1CM3	double
tr_charcoal_units	ID_CHARCOAL_UNITS	int(11)
tr_charcoal_units	CHARCOAL_UNITS_HIGH_LEVEL	varchar(10)
tr_charcoal_units	CHARCOAL_UNITS_NAME	varchar(100)
tr_charcoal_units	CHARCOAL_UNITS_NUMBER	int(11)
tr_charcoal_units	CHARCOAL_UNITS_FIRST_LEVEL	varchar(10)
tr_core_type	ID_CORE_TYPE	int(11)
tr_core_type	CORE_TYPE_NAME	varchar(50)
tr_country	ID_COUNTRY	int(11)
tr_country	COUNTRY_GCD_CODE	varchar(50)
tr_country	COUNTRY_NAME	varchar(50)
tr_country	COUNTRY_ISO_ALPHA2	varchar(2)
tr_country	COUNTRY_ISO_ALPHA3	varchar(3)
tr_country	ID_REGION	int(11)
tr_country	ID_REGION_BIS	int(11)
tr_database	ID_DATABASE	int(11)
tr_database	GCD_ACCESS_VERSION	varchar(50)
tr_database	DATABASE_PUB_DATE	date
tr_data_source	ID_DATA_SOURCE	int(11)
tr_data_source	DATA_SOURCE_CODE	varchar(4)
tr_data_source	DATA_SOURCE_DESC	varchar(50)
tr_date_type	ID_DATE_TYPE	int(11)
tr_date_type	DATE_TYPE_CODE	varchar(4)
tr_date_type	DATE_TYPE_NAME	varchar(50)
tr_date_type	DATE_TYPE_NUMBER	int(11)
tr_depo_context	ID_DEPO_CONTEXT	int(11)
tr_depo_context	DEPO_CONTEXT_CODE	varchar(50)
tr_depo_context	DEPO_CONTEXT_NAME	varchar(50)
tr_depo_context	DEPO_CONTEXT_NUMBER	int(11)
tr_depth_type	ID_DEPTH_TYPE	int(11)
tr_depth_type	DEPTH_TYPE_NAME	varchar(50)
tr_flow_type	ID_FLOW_TYPE	int(11)
tr_flow_type	FLOW_TYPE_CODE	varchar(50)
tr_flow_type	FLOW_TYPE_NAME	varchar(50)
tr_lands_desc	ID_LANDS_DESC	int(11)
tr_lands_desc	LANDS_DESC_CODE	varchar(50)
tr_lands_desc	LANDS_DESC_NAME	varchar(50)
tr_local_veg	ID_LOCAL_VEG	int(11)
tr_local_veg	LOCAL_VEG_DESC	varchar(255)
tr_mat_dated	ID_MAT_DATED	int(11)
tr_mat_dated	MAT_DATED_STANDARD_LEVEL	varchar(4)
tr_mat_dated	MAT_DATED_TYPE	varchar(50)
tr_mat_dated	MAT_DATED_HIGH_LEVEL	varchar(4)
tr_ref_biome	ID_REF_BIOME	int(11)
tr_ref_biome	REF_BIOME_NAME	varchar(50)
tr_region	ID_REGION	int(11)
tr_region	REGION_GCD_CODE	varchar(50)
tr_region	REGION_NAME	varchar(80)
tr_region	MARINE_REGION	tinyint(1)
tr_regional_veg	ID_REGIONAL_VEG	int(11)
tr_regional_veg	REGIONAL_VEG_DESC	varchar(255)
tr_site_type	ID_SITE_TYPE	int(11)
tr_site_type	SITE_TYPE_LEVEL	varchar(4)
tr_site_type	SITE_TYPE_DESC	varchar(80)
tr_site_type	SITE_TYPE_HIGH_LEVEL	varchar(4)
tr_status	ID_STATUS	int(11)
tr_status	STATUS_CODE	varchar(5)
tr_status	STATUS_DESC	varchar(50)
tt_sample_import	ID_SAMPLE_TEMP	int(11)
tt_sample_import	AUTHOR_TEMP_ID	int(11)
tt_sample_import	CONTRIBUTOR_TEMP_ID	int(11)
tt_site_import	ID_SITE_TEMP	int(11)
tt_site_import	STATUS_TEMP_ID	int(11)
tt_site_import	CHARCOAL_PREF_UNIT_TEMP_ID	int(11)
tt_site_import	DATABASE_VERSION_ID	int(11)
tt_site_import	DATA_SOURCE_ID_TEMP	int(11)
tt_site_import	AGE_MODEL_METH_ID_TEMP	int(11)
tt_site_import	DATING_TYPE_ID_TEMP	int(11)
tt_site_import	WATER_DEPTH_TEMP	double
tt_site_import	ELEVATION_TEMP	double
