Column,Neotoma,Required,Notes,Rowwise,Type,FormatOrRange,Vocab,Constant,Taxonname,Taxonid,Unitcolumn,Uncertaintycolumn,Uncertaintyunitcolumn,UncertaintyBasis
Sample number,ndb.samples.samplename,,This is a unique physical sample identifier,,,,,,,,,,,
scientificName,ndb.data.values,,"This is a single Presence/absence value, we have to check to see if there's not information in this field",,,,,,scientificName,,organismQuantity,,,
order,,,,,,,,,,,,,,
superfamily*,,,,,,,,,,,,,,
family,,,,,,,,,,,,,,
subfamily*,,,,,,,,,,,,,,
genus,,,,,,,,,,,,,,
specificEpithet,,,,,,,,,,,,,,
scientificNameAuthorship,ndb.taxa.publication,,,,,,,,,,,,,
organismQuantity,ndb.data.value,,,,,,,,,,,,,
lifeStage,,,"This must be some part of the data value/variable description, but I'm not sure where it is.",,,,,,,,,,,
sex,,,"This must be some part of the data value/variable description, but I'm not sure where it is.",,,,,,,,,,,
sexRatio*,,,"This must be some part of the data value/variable description, but I'm not sure where it is.",,,,,,,,,,,
recordedBy,ndb.sampleanalyst.contactid,,,,,,,,,,,,,
continent,,,This is a spatial overlay,,,,,,,,,,,
waterBody,ndb.sites.sitename,,This is spatial overlay/sitename,,,,,,,,,,,
islandGroup,,,This is spatial overlay (except when it isn't),,,,,,,,,,,
island,,,This is spatial overlay (except when it isn't),,,,,,,,,,,
country,,,This is spatial overlay (except when it isn't),,,,,,,,,,,
stateProvince,,,This is spatial overlay (except when it isn't),,,,,,,,,,,
municipality,,,This is spatial overlay (except when it isn't),,,,,,,,,,,
locality,,,This is spatial overlay (except when it isn't),,,,,,,,,,,
verbatimLocality,ndb.sites.sitedescription,,,,,,,,,,,,,
geodeticDatum,ndb.sites.geog,,,,,,,,,,,,,
decimalLatitude,ndb.sites.geog,,,,,,,,,,,,,
decimalLongitude,ndb.sites.geog,,,,,,,,,,,,,
verbatimElevation,ndb.sites.altitude,,,,,,,,,,,,,
typeLocality*,ndb.lakeparameters.depth,,,,,,,,,,,,,
verbatimDepth,ndb.lakeparameters.depth,,,,,,,,,,,,,
year,,,This gets pasted together in the column eventDate,,,,,,,,,,,
month,,,,,,,,,,,,,,
day,,,,,,,,,,,,,,
eventDate,ndb.collectionunits.colldate,,,,,,,,,,,,,
habitat,ndb.depenvs.depenvtype,,,,,,,,,,,,,
environment*,,,"This is a modifier to the depositional environment and might be ""location within unit""",,,,,,,,,,,
duration*,,,,,,,,,,,,,,
substrate*,,,,,,,,,,,,,,
vegetation*,,,,,,,,,,,,,,
samplingProtocol,,,,,,,,,,,,,,
temperature*,,,,,,,,,,,,,,
pH*,,,,,,,,,,,,,,
conductivity*,,,,,,,,,,,,,,
salinity*,,,,,,,,,,,,,,
dissolved oxygen*,,,,,,,,,,,,,,
typeStatus,,,,,,,,,,,,,,
institutionCode,,,,,,,,,,,,,,
collectionID,,,,,,,,,,,,,,
catalogNumber,,,,,,,,,,,,,,
basisOfRecord,,,,,,,,,,,,,,
nameInPaper*,,,,,,,,,,,,,,
figured?*,,,,,,,,,,,,,,
storage*,,,,,,,,,,,,,,
bibliographicCitation,ndb.publications.publicationid,,,,,,,,,,,,,
comments*,,,,,,,,,,,,,,
